7830	2393	400	\N	\N	\N	0.00	315.00	POS Sale - SALES-1767873989183	2026-01-08 12:06:29.192692	\N
168	90	\N	\N	\N	10	0.00	40303.65	PO PO-36 - Container CAAU7766002	2025-11-05 12:50:32.185845	\N
170	91	\N	\N	\N	14	0.00	49735.00	PO PO-36 - Container TCKU6524990	2025-11-05 13:06:58.901221	\N
172	92	\N	\N	\N	5	0.00	39349.55	PO PO-36 - Container MRSU5961060	2025-11-05 13:07:48.208925	\N
8484	2529	1	\N	\N	\N	8070.00	0.00	Receipt - OUTLET 2 CASH	2026-01-10 12:24:13.997798	\N
174	93	\N	\N	\N	1	0.00	41543.50	PO PO-36 - Container MRKU4519580	2025-11-05 13:09:24.592802	\N
8485	2529	3	\N	\N	\N	0.00	8070.00	Receipt - OUTLET 2 CASH	2026-01-10 12:24:13.997798	\N
176	94	\N	\N	\N	1	0.00	43117.50	PO PO-36 - Container SUDU6961128	2025-11-05 13:09:55.794239	\N
3936	1238	43	\N	\N	\N	17000.00	0.00	Payment - NCA	2025-12-05 13:48:54.989757	\N
3937	1238	112	\N	\N	\N	0.00	17000.00	Payment - NCA	2025-12-05 13:48:54.989757	\N
3938	1238	40	\N	\N	\N	15600.00	0.00	Payment - HUSSAIN NAHLI	2025-12-05 13:48:54.989757	\N
8486	2529	1	\N	\N	\N	1600.00	0.00	Receipt - OUTLET 3 CASH	2026-01-10 12:24:13.997798	\N
8487	2529	4	\N	\N	\N	0.00	1600.00	Receipt - OUTLET 3 CASH	2026-01-10 12:24:13.997798	\N
182	97	\N	\N	\N	2	0.00	28871.62	PO PO-36 - Container TCKU6728400	2025-11-05 13:11:48.207853	\N
8488	2529	1	\N	\N	\N	8275.00	0.00	Receipt - OUTLET 4 CASH	2026-01-10 12:24:13.997798	\N
184	98	\N	\N	\N	1	0.00	43828.00	PO PO-36 - Container TLLU5954923	2025-11-05 13:13:09.795454	\N
8489	2529	5	\N	\N	\N	0.00	8275.00	Receipt - OUTLET 4 CASH	2026-01-10 12:24:13.997798	\N
186	99	\N	\N	\N	5	0.00	39098.75	PO PO-36 - Container MRSU6556143	2025-11-05 13:13:51.0962	\N
8492	2531	44	\N	\N	\N	15000.00	0.00	Payment - TRH	2026-01-10 12:25:08.835573	\N
188	100	\N	\N	\N	5	0.00	38352.95	PO PO-36 - Container MRSU3003490	2025-11-05 13:14:43.401959	\N
8493	2531	112	\N	\N	\N	0.00	15000.00	Payment - TRH	2026-01-10 12:25:08.835573	\N
190	101	\N	\N	\N	3	0.00	32803.29	PO PO-36 - Container MRKU5025330	2025-11-05 13:15:11.393065	\N
8711	2597	6	\N	\N	\N	9945.00	0.00	Cash from POS Sales - 52 items	2026-01-13 11:23:14.29056	\N
192	102	\N	\N	\N	5	0.00	39629.10	PO PO-36 - Container MRSU5229634	2025-11-05 13:15:41.000894	\N
8712	2597	152	\N	\N	\N	0.00	9945.00	Sales Revenue - 52 items	2026-01-13 11:23:14.29056	\N
194	103	\N	\N	\N	9	0.00	38605.00	PO PO-36 - Container MRKU3150461	2025-11-05 13:16:08.697563	\N
8919	2616	357	\N	\N	\N	25000.00	0.00	Payment - HADI L'SHI Credit	2026-01-14 15:59:55.153884	\N
196	104	\N	\N	\N	10	0.00	39925.64	PO PO-36 - Container MRSU6491103	2025-11-05 13:27:43.098296	\N
8920	2616	352	\N	\N	\N	0.00	25000.00	Payment - HADI L'SHI Credit	2026-01-14 15:59:55.153884	\N
198	105	\N	\N	\N	4	0.00	30626.12	PO PO-36 - Container TCNU4355513	2025-11-05 13:30:39.309629	\N
8921	2616	378	\N	\N	\N	21.00	0.00	Payment - Transport	2026-01-14 15:59:55.153884	\N
200	106	\N	\N	\N	4	0.00	30850.12	PO PO-36 - Container HASU4513857	2025-11-05 13:33:01.103538	\N
8922	2616	352	\N	\N	\N	0.00	21.00	Payment - Transport	2026-01-14 15:59:55.153884	\N
202	107	\N	\N	\N	1	0.00	42276.00	PO PO-36 - Container TCNU3490648	2025-11-05 13:33:34.200754	\N
8923	2616	414	\N	\N	\N	40.00	0.00	Payment - Tax Hygiene	2026-01-14 15:59:55.153884	\N
204	108	\N	\N	\N	14	0.00	52855.00	PO PO-36 - Container TRHU6470058	2025-11-05 13:34:00.300098	\N
8924	2616	352	\N	\N	\N	0.00	40.00	Payment - Tax Hygiene	2026-01-14 15:59:55.153884	\N
8925	2616	415	\N	\N	\N	130.30	0.00	Payment - Reclamation	2026-01-14 15:59:55.153884	\N
8926	2616	352	\N	\N	\N	0.00	130.30	Payment - Reclamation	2026-01-14 15:59:55.153884	\N
208	110	\N	\N	\N	4	0.00	31118.21	PO PO-36 - Container MRSU4006359	2025-11-05 13:35:27.487158	\N
8927	2616	412	\N	\N	\N	6660.00	0.00	Payment - SHOP #2 RENT	2026-01-14 15:59:55.153884	\N
210	111	\N	\N	\N	5	0.00	38010.05	PO PO-36 - Container CAAU6096631	2025-11-05 13:35:51.386804	\N
8928	2616	352	\N	\N	\N	0.00	6660.00	Payment - SHOP #2 RENT	2026-01-14 15:59:55.153884	\N
212	112	\N	\N	\N	9	0.00	37178.75	PO PO-36 - Container TRHU8017380	2025-11-05 13:36:16.984897	\N
