170	53	1489	2.000	115.20	230.40	2025-11-19 10:04:18.00565	67
171	53	563	8.000	57.60	460.80	2025-11-19 10:04:18.00565	67
172	53	568	5.000	54.17	270.85	2025-11-19 10:04:18.00565	67
173	53	571	1.000	79.51	79.51	2025-11-19 10:04:18.00565	67
174	53	587	2.000	67.01	134.02	2025-11-19 10:04:18.00565	67
175	53	1514	5.000	79.06	395.30	2025-11-19 10:04:18.00565	67
176	53	591	4.000	49.05	196.20	2025-11-19 10:04:18.00565	67
177	53	552	8.000	157.01	1256.08	2025-11-19 10:04:18.00565	67
178	53	552	9.000	177.88	1600.92	2025-11-19 10:04:18.00565	68
179	53	153	10.000	327.88	3278.80	2025-11-19 10:04:18.00565	68
180	53	352	3.000	81.50	244.50	2025-11-19 10:04:18.00565	66
181	53	357	6.000	165.24	991.44	2025-11-19 10:04:18.00565	66
182	53	366	5.000	102.23	511.15	2025-11-19 10:04:18.00565	66
183	53	369	2.000	43.09	86.18	2025-11-19 10:04:18.00565	66
184	53	371	4.000	98.89	395.56	2025-11-19 10:04:18.00565	66
185	53	292	3.000	92.75	278.25	2025-11-19 10:04:18.00565	65
186	53	329	3.000	132.78	398.34	2025-11-19 10:04:18.00565	65
187	53	318	1.000	61.06	61.06	2025-11-19 10:04:18.00565	65
188	54	205	12.000	66.28	795.36	2025-11-19 10:07:58.35003	66
189	54	758	4.000	56.59	226.36	2025-11-19 10:07:58.35003	65
190	54	227	3.000	66.75	200.25	2025-11-19 10:07:58.35003	65
191	54	234	15.000	50.56	758.40	2025-11-19 10:07:58.35003	65
192	54	196	4.000	252.00	1008.00	2025-11-19 10:07:58.35003	65
193	54	245	12.000	63.77	765.24	2025-11-19 10:07:58.35003	65
194	54	265	5.000	48.16	240.80	2025-11-19 10:07:58.35003	65
195	54	408	10.000	156.10	1561.00	2025-11-19 10:07:58.35003	66
196	54	52	4.000	60.57	242.28	2025-11-19 10:07:58.35003	64
197	54	53	2.000	79.65	159.30	2025-11-19 10:07:58.35003	64
198	54	54	4.000	74.87	299.48	2025-11-19 10:07:58.35003	64
199	54	71	30.000	45.05	1351.50	2025-11-19 10:07:58.35003	64
200	54	85	10.000	74.93	749.30	2025-11-19 10:07:58.35003	64
201	54	94	5.000	97.65	488.25	2025-11-19 10:07:58.35003	64
202	54	103	15.000	59.84	897.60	2025-11-19 10:07:58.35003	64
203	54	105	3.000	87.24	261.72	2025-11-19 10:07:58.35003	64
204	54	107	8.000	74.94	599.52	2025-11-19 10:07:58.35003	64
205	54	125	26.000	52.29	1359.54	2025-11-19 10:07:58.35003	64
206	54	130	5.000	84.68	423.40	2025-11-19 10:07:58.35003	64
207	54	1547	3.000	79.66	238.98	2025-11-19 10:07:58.35003	64
208	54	133	2.000	129.58	259.16	2025-11-19 10:07:58.35003	64
209	54	139	5.000	116.31	581.55	2025-11-19 10:07:58.35003	64
519	73	516	27.000	48.29	1303.83	2025-11-26 16:27:24.694078	67
520	73	613	9.000	68.29	614.61	2025-11-26 16:27:24.694078	67
521	73	519	6.000	89.30	535.80	2025-11-26 16:27:24.694078	67
522	73	524	8.000	64.74	517.92	2025-11-26 16:27:24.694078	67
523	73	531	20.000	50.35	1007.00	2025-11-26 16:27:24.694078	67
215	52	128	60.000	54.49	3269.40	2025-11-19 13:17:52.256859	64
216	52	1477	3.000	252.88	758.64	2025-11-19 13:17:52.256859	68
217	52	126	5.000	134.55	672.75	2025-11-19 13:17:52.256859	64
218	52	570	1.000	302.75	302.75	2025-11-19 13:17:52.256859	68
219	55	144	100.000	94.67	9467.00	2025-11-20 11:07:28.979657	64
220	56	1477	5.000	252.88	1264.40	2025-11-20 11:49:18.680902	77
222	58	552	1.000	166.86	166.86	2025-11-20 12:39:47.592383	70
223	58	575	1.000	324.32	324.32	2025-11-20 12:39:47.592383	70
224	59	87	5.000	69.76	348.80	2025-11-21 07:51:44.862929	78
225	60	477	129.000	44.06	5683.74	2025-11-21 10:06:59.38368	66
226	60	531	68.000	50.55	3437.40	2025-11-21 10:06:59.38368	67
227	60	472	4.000	428.73	1714.92	2025-11-21 10:06:59.38368	66
228	60	515	30.000	79.34	2380.20	2025-11-21 10:06:59.38368	67
229	60	465	10.000	63.82	638.20	2025-11-21 10:06:59.38368	66
524	73	1473	3.000	58.29	174.87	2025-11-26 16:27:24.694078	67
525	73	546	4.000	178.38	713.52	2025-11-26 16:27:24.694078	67
526	73	625	1.000	228.29	228.29	2025-11-26 16:27:24.694078	67
230	60	464	4.000	108.98	435.92	2025-11-21 10:06:59.38368	66
231	60	1887	3.000	168.58	505.74	2025-11-21 10:06:59.38368	66
232	60	470	5.000	103.92	519.60	2025-11-21 10:06:59.38368	66
233	60	1893	20.000	148.58	2971.60	2025-11-21 10:06:59.38368	66
